Range;class;model;precision;recall;f1_score;roc_auc;accuracy;номер комбинации;RSI__h_bound;RSI__period;SMA__ma_long;SMA__ma_longest;SMA__ma_short;EMA__ema_long;EMA__ema_longest;EMA__ema_short;RSIEMA__h_bound;RSIEMA__period;ROC__roc_high;ROC__roc_low;MOM__mom_high;MOM__mom_low;STOCH__stoch_d;STOCH__stoch_k;STOCH__stoch_period;SHIFT1__num_shifts;SHIFT2__num_shifts;CORRELATION_REMOVER__threshold;DEPENDENCIES_REMOVER__correlation_threshold;DATAPREPROCESSOR__apply_balancing;DATAPREPROCESSOR__apply_scaling;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
0,05;1;RandomForestClassifier;0.6484310487200661;0.6593198992443325;0.6538301415487094;0.5258497011407814;0.5539761298109159;137;70;21;34;200;8;21;200;13;80;8;14;9;14;14;5;13;3;3;3;0.01;0.3;FALSE;FALSE;100;10;4;sqrt;10
0,05;0;RandomForestClassifier;0.41739130434782606;0.017823988117341254;0.03418803418803419;0.436050970844273;0.6363148719324125;138;70;13;34;200;5;34;200;5;70;21;14;5;14;14;3;13;3;8;3;0.03;0.8;FALSE;FALSE;300;5;2;sqrt;10
0,05;1;RandomForestClassifier;0.6397439389812041;0.985936188077246;0.7759788534610936;0.563949029155727;0.6363148719324125;138;70;13;34;200;5;34;200;5;70;21;14;5;14;14;3;13;3;8;3;0.03;0.8;FALSE;FALSE;300;5;2;sqrt;10
0,05;0;RandomForestClassifier;0.3925233644859813;0.015595989602673598;0.03;0.42969021591880935;0.6357784631889499;139;70;13;21;200;8;21;200;13;70;8;14;9;14;14;3;8;5;13;1;0.03;0.8;FALSE;TRUE;200;5;4;log2;10
0,05;1;RandomForestClassifier;0.6393197278911564;0.9863560033585222;0.775796598976391;0.5703097840811906;0.6357784631889499;139;70;13;21;200;8;21;200;13;70;8;14;9;14;14;3;8;5;13;1;0.03;0.8;FALSE;TRUE;200;5;4;log2;10
0,05;0;RandomForestClassifier;0.36306868867082964;0.30226513182324544;0.3298885511651469;0.4663523430307078;0.5565240713423629;140;70;21;21;200;13;34;134;5;70;21;14;5;21;14;3;13;5;13;1;0.01;0.3;FALSE;FALSE;200;5;1;log2;10
0,05;1;RandomForestClassifier;0.6396931927133269;0.7002518891687658;0.6686040685439423;0.5336476569692922;0.5565240713423629;140;70;21;21;200;13;34;134;5;70;21;14;5;21;14;3;13;5;13;1;0.01;0.3;FALSE;FALSE;200;5;1;log2;10
0,05;0;RandomForestClassifier;0.3964620187304891;0.1414779056813962;0.20853858784893267;0.4737158297953802;0.6121764784765992;141;70;13;21;200;13;21;200;13;70;21;21;5;21;5;3;13;3;13;1;0.01;0.5;FALSE;TRUE;100;10;2;sqrt;10
0,05;1;RandomForestClassifier;0.6440886699507389;0.8782535684298909;0.7431616341030195;0.5262841702046198;0.6121764784765992;141;70;13;21;200;13;21;200;13;70;21;21;5;21;5;3;13;3;13;1;0.01;0.5;FALSE;TRUE;100;10;2;sqrt;10
0,05;0;RandomForestClassifier;0.4027777777777778;0.032305978462681025;0.05981436919903747;0.43438020579522807;0.633230521657503;142;70;13;21;200;8;34;134;5;70;21;14;9;14;5;3;8;3;8;3;0.03;0.8;FALSE;FALSE;100;2;2;log2;10
0,05;1;RandomForestClassifier;0.640104957878746;0.9729219143576826;0.7721782590587255;0.565619794204772;0.633230521657503;142;70;13;21;200;8;34;134;5;70;21;14;9;14;5;3;8;3;8;3;0.03;0.8;FALSE;FALSE;100;2;2;log2;10
0,05;0;RandomForestClassifier;0.40609137055837563;0.029706646862235425;0.05536332179930796;0.4260391636369192;0.6339010325868312;143;70;13;21;200;5;34;134;13;80;21;21;9;14;5;5;5;5;5;1;0.01;0.8;FALSE;TRUE;200;5;1;log2;10
0,05;1;RandomForestClassifier;0.6400826446280992;0.97544080604534;0.7729540918163673;0.5739608363630808;0.6339010325868312;143;70;13;21;200;5;34;134;13;80;21;21;9;14;5;5;5;5;5;1;0.01;0.8;FALSE;TRUE;200;5;1;log2;10
0,05;0;RandomForestClassifier;0.37997587454764775;0.11696992202005199;0.1788756388415673;0.469313732184352;0.6121764784765992;144;70;13;21;200;5;21;200;5;80;21;21;5;21;14;5;5;3;5;1;0.01;0.5;FALSE;FALSE;200;5;4;sqrt;10
